industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Banks,381620.0,2289720.0,2019-09-06,Product_2,100 - 500 Million,Category 3,USA,"Salt Lake City, UT",John Lewis,SVP/General Counsel,"Pilot, airline",Others,Level 2,more than a month,"Carter Sr,Clifton E",No,4,67.6
Financial Services,263980.0,1821462.0,2019-09-06,Product_1,500 Million - 1 Billion,Category 1,USA,"Boise City, ID",Mrs. Angela Perry,CEO,Data processing manager,Contact Email,Level 2,No track,"Young,Valerie K",No,5,72.8
Banks,68358.0,420401.7,2019-09-06,Product_2,500 Million - 1 Billion,Category 3,India,Bharauri,pinki,SVP/General Counsel,"Research officer, political party",Others,Level 3,more than a month,"Davis,Brian R",Yes,4,62.7
Peripherals/Comp.,434897.0,2239719.55,2019-09-06,Product_2,50 - 100 Million,Category 2,India,Hubli,poonam,SVP/General Counsel,Recruitment consultant,Others,Level 1,No track,"Irizarry,Yolanda",Yes,2,56.7
Healthcare Facilities/Services,,1106557.2,2019-09-06,Product_1,50 - 100 Million,Category 2,,"Bloomington, IL",David Larson,CEO,Medical sales representative,Contact Email,Level 3,,"Meli,Teresa V",Yes,3,70.0
Food Processing,452128.0,3006651.2,2019-09-06,Product_1,500 Million - 1 Billion,Category 3,,"Memphis, TN-MS-AR",Samantha Owens,SVP/General Counsel,Manufacturing engineer,Website,Level 2,Up-to-date,"Gaskins Jr,Franklin D",Yes,5,73.4
Education/Training,137500.0,845625.0,2019-09-06,Product_1,500 Million - 1 Billion,Category 2,India,Bikaner,seema,CEO,"Engineer, aeronautical",Contact Email,Level 3,?,"Maine,John P",Yes,1,107.34
Construction Services,143532.0,875545.2,2019-09-07,Product_1,500 Million - 1 Billion,Category 3,India,Bikaner,vandita,SVP/General Counsel,Community pharmacist,Contact Email,Level 1,,"Green,Ann E",Yes,5,61.1
Investment Bank/Brokerage,206633.0,1260461.3,2019-09-07,Product_1,500 Million - 1 Billion,Category 3,,"Louisville/Jefferson County, KY-IN",Jennifer Campos,CEO,Osteopath,Contact Email,Level 2,2 days back,"Moran,Natalie A",Yes,1,64.5
Restaurants,404720.0,2954456.0,2019-09-07,Product_2,100 - 500 Million,Category 1,USA,"Sioux City, IA-NE-SD",James Warren,SVP/General Counsel,Osteopath,Website,Level 3,more than a month,"McKenstry,Loretta A",No,5,77.7
"Oil, Gas, Coal",374365.0,2377217.75,2019-09-07,Product_2,50 - 100 Million,Category 2,USA,"Sebring, FL",Nicholas Baker,CEO,Scientific laboratory technician,Marketing Event,Level 2,2 days back,"Kiepea,Prince A",Yes,5,72.7
Real Estate,387817.0,2152384.35,2019-09-07,Product_1,50 - 100 Million,Category 2,India,Jaipur,sangeeta kumari,CEO,Archivist,Others,Level 2,2 days back,"Irizarry,Yolanda",No,4,61.6
Industrial Equip,381689.0,2442809.6,2019-09-07,Product_1,500 Million - 1 Billion,Category 2,USA,"Huntington-Ashland, WV-KY-OH",Joseph Thomas,SVP/General Counsel,"Buyer, industrial",Marketing Event,Level 1,More than 2 weeks,"Anthony,Katherine D",Yes,5,72.9
Technology Consulting,28707.0,170806.65,2019-09-07,Product_1,50 - 100 Million,Category 3,,Raichur,kanchan,CEO,"Journalist, broadcasting",Website,Level 3,No track,"Gaskins Jr,Franklin D",No,1,58.900000000000006
Real Estate,,2063642.9,2019-09-07,Product_2,500 Million - 1 Billion,Category 3,India,Imphal,seema,CEO,Technical author,Website,Level 2,More than 2 weeks,"Himes,Maurice C",No,2,61.1
Investment Bank/Brokerage,81876.0,487162.2,2019-09-07,Product_2,100 - 500 Million,Category 3,India,Saidpur,purnima,CEO,"Education officer, community",Website,Level 2,No track,"Rocks,Michael J",No,1,59.7
Insurance,473465.0,2817116.75,2019-09-07,Product_1,500 Million - 1 Billion,Category 2,India,Chikka Mandya,tasveeran,CEO,Hydrologist,Website,Level 2,2 days back,"Mabrey,Kevin C",No,2,62.6
Banks,284818.0,1794353.4,2019-09-08,Product_1,500 Million - 1 Billion,Category 3,India,Aurangabad,vandna,CEO,"Civil engineer, consulting",Marketing Event,Level 2,?,"Green,Ann E",No,3,64.0
Auto Parts/Services,105390.0,674496.0,2019-09-08,Product_1,50 - 100 Million,Category 1,USA,"Visalia-Porterville, CA",Cheryl Johnson,CEO,Public affairs consultant,Website,Level 2,More than 2 weeks,"Leu,Darren L",No,2,69.2
Automotive/Transportation,282696.0,1526558.4,2019-09-08,Product_2,500 Million - 1 Billion,Category 2,India,Coimbatore,rajani,CEO,"Doctor, hospital",Others,Level 1,More than a week back,"Smith,Keenan H",No,1,58.6
Banks,76898.0,484457.4,2019-09-08,Product_2,500 Million - 1 Billion,Category 1,,Ambala,smt geeta,CEO,Armed forces logistics/support/administrative officer,Others,Level 1,?,"Massiah,Gerard F",Yes,5,107.34
Banks,68761.0,416004.05,2019-09-08,Product_1,500 Million - 1 Billion,Category 2,India,Ramagundam,smt.pooja,SVP/General Counsel,Research scientist (medical),Others,Level 3,5 days back,"Heidelberg,Andre D",No,4,64.2
Non-Profit,6675.0,39716.25,2019-09-08,Product_2,100 - 500 Million,Category 3,,Patna,samman,CEO,Advertising account executive,Website,Level 2,2 days back,"Gaskins Jr,Franklin D",No,4,59.900000000000006
Banks,449002.0,2963413.2,2019-09-09,Product_1,50 - 100 Million,Category 1,India,Latur,kiran,CEO,"Administrator, local government",Contact Email,Level 3,more than a month,"Ali,Mohamed",No,4,64.5
Biotech/Healthcare,294777.0,1930789.35,2019-09-09,Product_1,50 - 100 Million,Category 1,India,Kagaznagar,gaytri bai,SVP/General Counsel,"Engineer, building services",Website,Level 3,More than a week back,"Gaskins Jr,Franklin D",No,2,64.9
Healthcare Facilities/Services,233775.0,1507848.75,2019-09-09,Product_2,500 Million - 1 Billion,Category 1,India,Guntur,smt lata devi,CEO,Armed forces technical officer,Website,Level 2,No track,"Vickers Jr.,Henry J",Yes,2,64.1
Banks,8413.0,49216.05,2019-09-09,Product_2,50 - 100 Million,Category 4,USA,"Pittsfield, MA",Brian Evans,CEO,Professor Emeritus,Contact Email,Level 1,No track,"Gould,Lisa D",,2,57.400000000000006
Banks,300525.0,2058596.25,2019-09-09,Product_2,500 Million - 1 Billion,Category 1,India,Belgaum,laxmi,SVP/General Counsel,Environmental consultant,Others,Level 3,,"Logan,Kevin N",No,5,69.8
Banks,370099.0,2257603.9,2019-09-09,Product_1,100 - 500 Million,Category 2,USA,"Madera, CA",Deborah Davis,SVP/General Counsel,Logistics and distribution manager,Contact Email,Level 2,Up-to-date,"Ali,Mohamed",No,3,67.8
Software,279317.0,1997116.55,2019-09-09,Product_1,100 - 500 Million,Category 4,USA,"Victoria, TX",Robert Powell,SVP/General Counsel,Community arts worker,Contact Email,Level 3,No track,"Rocks,Michael J",No,5,70.6
Education/Training,84717.0,550660.5,2019-09-09,Product_1,500 Million - 1 Billion,Category 4,,Hata,rakhi,CEO,Commercial/residential surveyor,Marketing Event,Level 1,No track,"Thomas,Lori E",No,3,61.8
Financial Services,180284.0,1307059.0,2019-09-10,Product_1,500 Million - 1 Billion,Category 1,USA,"Jonesboro, AR",Erin Taylor,CEO,Energy manager,Marketing Event,Level 3,2 days back,"Booker,David L",No,3,76.7
Constr/Agric Machinery,235081.0,,2019-09-10,Product_2,500 Million - 1 Billion,Category 2,USA,"Lawrence, KS",Rebecca Huynh,CEO,"Radiographer, diagnostic",Others,Level 1,5 days back,"Davis,Brian R",No,3,68.8
Construction Services,288395.0,2076444.0,2019-09-10,Product_2,500 Million - 1 Billion,Category 1,India,Muzaffarpur,bhagvati,SVP/General Counsel,Theatre stage manager,Website,Level 3,No track,"Booker,David L",Yes,5,72.1
Energy,81598.0,461028.7,2019-09-10,Product_1,50 - 100 Million,Category 4,India,Chirala,preeti @ reetu,CEO,IT technical support officer,Others,Level 1,more than a month,"Anthony,Katherine D",No,2,54.7
B2B eCommerce,183133.0,,2019-09-10,Product_1,100 - 500 Million,Category 4,USA,"Youngstown-Warren-Boardman, OH-PA",Michelle Carpenter,CEO,Magazine journalist,Others,Level 2,,"Ross,Eric L",Yes,4,67.1
Healthcare Facilities/Services,43485.0,254387.25,2019-09-10,Product_1,50 - 100 Million,Category 1,USA,"Weirton-Steubenville, WV-OH",Samantha Carney,SVP/General Counsel,"Engineer, land",Others,Level 2,More than a week back,"Georgakopoulos,Vasilios T",Yes,1,63.900000000000006
Materials/Manufacturing,497123.0,3007594.15,2019-09-10,Product_1,50 - 100 Million,Category 1,USA,"Naples-Immokalee-Marco Island, FL",Noah Miles,CEO,TEFL teacher,Others,Level 1,5 days back,"Van Arter,Derrick",No,4,68.4
Software,421420.0,2570662.0,2019-09-10,Product_2,50 - 100 Million,Category 2,India,Cuddalore,rekha,CEO,TEFL teacher,Contact Email,Level 3,No track,"Jones,Eyvette W",No,3,63.0
Plumbing/HVAC,370405.0,2222430.0,2019-09-10,Product_2,100 - 500 Million,Category 3,USA,"Grand Junction, CO",Kelly Sanders,SVP/General Counsel,Multimedia programmer,Contact Email,Level 2,No track,"Dyson,William A",Yes,2,63.1
Banks,266295.0,1651029.0,2019-09-10,Product_2,100 - 500 Million,Category 4,India,Haripur,muskan khatun,SVP/General Counsel,"Engineer, technical sales",Contact Email,Level 1,No track,"Vickers Jr.,Henry J",No,4,57.1
Banks,386754.0,2475225.6,2019-09-10,Product_2,100 - 500 Million,Category 1,India,Nasik,vidyawati,SVP/General Counsel,"Geologist, wellsite",Others,Level 2,No track,"Leu,Darren L",No,5,65.7
Lending/Mortgage,450617.0,2816356.25,2019-09-10,Product_1,500 Million - 1 Billion,Category 4,India,Delhi,harsha chittora,CEO,Computer games developer,Website,Level 1,5 days back,"Ryker,David",No,2,26.35
Associations,98398.0,614987.5,2019-09-10,Product_2,50 - 100 Million,Category 1,USA,"Palm Bay-Melbourne-Titusville, FL",Dustin Adams,SVP/General Counsel,Community education officer,Contact Email,Level 2,?,"Hebron,Artenia D",No,1,65.6
Telecom Consulting,391419.0,2407226.85,2019-09-10,Product_2,500 Million - 1 Billion,Category 2,India,Raipur,kavita,CEO,Customer service manager,Website,Level 2,No track,"Cash,Tyrone J",Yes,3,65.8
Insurance,236934.0,1338677.1,2019-09-10,Product_1,50 - 100 Million,Category 3,India,Porbandar,rajni mahraval,SVP/General Counsel,Geochemist,Others,Level 2,2 days back,"Murray,Younetta",No,4,26.35
Service Providers,453279.0,2765001.9,2019-09-10,Product_1,500 Million - 1 Billion,Category 1,India,Nellore,usha devi,CEO,"Physicist, medical",Contact Email,Level 1,No track,"Kiepea,Prince A",Yes,1,58.8
Wood/Timber,121803.0,852621.0,2019-09-10,Product_2,50 - 100 Million,Category 1,USA,"Ogden-Clearfield, UT",Ronald Ortega,CEO,"Engineer, technical sales",Marketing Event,Level 3,No track,"Ross,Eric L",No,3,74.8
Banks,431291.0,2760262.4,2019-09-11,Product_1,50 - 100 Million,Category 3,USA,* Advance statistics,Amanda Parrish,CEO,Television floor manager,Marketing Event,Level 3,more than a month,"Green,Ann E",No,2,107.34
Semiconductors,313658.0,2274020.5,2019-09-11,Product_2,500 Million - 1 Billion,Category 4,USA,"Parkersburg-Vienna, WV",Jake Mcbride,CEO,"Scientist, product/process development",Contact Email,Level 3,No track,"Moran,Natalie A",Yes,5,72.0
Casinos/Gaming,246408.0,1429166.4,2019-09-11,Product_1,100 - 500 Million,Category 1,India,Haora,ratani,CEO,Prison officer,Others,Level 1,No track,"Charles,Caleb",No,2,58.7
Education/Training,238818.0,1456789.8,2019-09-11,Product_1,500 Million - 1 Billion,Category 1,India,Mirzapur,anjali,CEO,Health service manager,Others,Level 2,?,"Meli,Teresa V",No,2,107.34
Social Services,133942.0,810349.1,2019-09-11,Product_1,500 Million - 1 Billion,Category 3,,Raipur,sunita,CEO,"Radiographer, therapeutic",Website,Level 2,No track,"Anthony,Katherine D",No,2,61.1
Insurance,144201.0,894046.2,2019-09-11,Product_2,50 - 100 Million,Category 3,,"McAllen-Edinburg-Mission, TX",Hunter Weaver,CEO,"Exhibitions officer, museum/gallery",Others,Level 3,More than a week back,"Murray,Younetta",Yes,4,69.8
Aerospace/Defense,66831.0,,2019-09-12,Product_1,500 Million - 1 Billion,Category 3,USA,"Spokane-Spokane Valley, WA",Sean Garrison,SVP/General Counsel,Graphic designer,Website,Level 2,,"Gilley,Janine",No,3,69.3
Banks,134260.0,818986.0,2019-09-12,Product_1,500 Million - 1 Billion,Category 4,India,Agra,mamta rani,CEO,"Surveyor, rural practice",Contact Email,Level 1,No track,"Carter Sr,Clifton E",Yes,2,55.3
Investment Bank/Brokerage,164792.0,1021710.4,2019-09-12,Product_1,100 - 500 Million,Category 1,India,Nandyal,shabnur,CEO,Education administrator,Contact Email,Level 1,More than a week back,"Dunaway,Antoine",No,3,60.6
Construction Services,139603.0,914399.65,2019-09-12,Product_1,500 Million - 1 Billion,Category 2,India,Ujjain,rekha,SVP/General Counsel,Visual merchandiser,Contact Email,Level 3,More than 2 weeks,"Rocks,Michael J",Yes,5,67.0
Banks,285100.0,1525285.0,2019-09-12,Product_2,50 - 100 Million,Category 2,USA,"Pittsfield, MA",Breanna Gonzalez,CEO,Musician,Others,Level 1,No track,"Kiepea,Prince A",No,2,63.7
Financial Services,443723.0,2928571.8,2019-09-12,Product_1,50 - 100 Million,Category 1,USA,"Corpus Christi, TX",George Morris,SVP/General Counsel,Local government officer,Others,Level 3,No track,"Davis,Brian R",Yes,3,72.8
Other,14404.0,87864.4,2019-09-12,Product_1,500 Million - 1 Billion,Category 1,India,Sangli,usha,CEO,"Development worker, international aid",Marketing Event,Level 1,5 days back,"Bannister,Joan",,2,59.1
Insurance,4428.0,,2019-09-12,Product_1,50 - 100 Million,Category 4,USA,"Blacksburg-Christiansburg-Radford, VA",Thomas Washington MD,SVP/General Counsel,Heritage manager,Marketing Event,Level 3,?,"Jones,Michael L",Yes,4,68.3
Other,339459.0,2053726.95,2019-09-12,Product_2,50 - 100 Million,Category 1,India,Kohima,amisha bharti @ mahi,CEO,Publishing copy,Others,Level 1,?,"Abdul-Hamid,Saud Muhamad",No,5,63.5
Furniture/Fixtures,238061.0,,2019-09-12,Product_1,500 Million - 1 Billion,Category 2,India,Kumbakonam,chhagana,CEO,"Designer, interior/spatial",Marketing Event,Level 2,5 days back,"Davis,Brian R",No,2,62.3
"Oil, Gas, Coal",,1851598.35,2019-09-13,Product_2,500 Million - 1 Billion,Category 2,India,Aurangabad,rizwana,CEO,"Designer, blown glass/stained glass",Others,Level 3,5 days back,"Himes,Maurice C",Yes,1,63.0
Banks,281494.0,1871935.1,2019-09-13,Product_1,500 Million - 1 Billion,Category 3,USA,"Brunswick, GA",Samuel Osborne,SVP/General Counsel,Retail merchandiser,Marketing Event,Level 3,5 days back,"Hameier,Kurt E",Yes,2,70.5
Hotels/Motels,291988.0,1810325.6,2019-09-13,Product_2,100 - 500 Million,Category 3,USA,"Columbus, GA-AL",John Schroeder,CEO,Financial controller,Contact Email,Level 1,more than a month,"Robinson,John C",No,5,107.34
Investment Bank/Brokerage,484778.0,2811712.4,2019-09-13,Product_1,500 Million - 1 Billion,Category 2,India,Valparai,rachna,SVP/General Counsel,Jewellery designer,Contact Email,Level 1,No track,"Dyson,William A",Yes,4,60.5
Banks,470126.0,2914781.2,2019-09-13,Product_1,50 - 100 Million,Category 4,India,Bhatpara,aarifun bivi,CEO,Garment/textile technologist,Website,Level 2,Up-to-date,"Anthony,Katherine D",No,2,58.7
Sales/Marketing Services,358221.0,2597102.25,2019-09-13,Product_1,500 Million - 1 Billion,Category 1,USA,"Greenville-Anderson-Mauldin, SC",Katherine Jennings,CEO,Control and instrumentation engineer,Marketing Event,Level 3,2 days back,"Ross,Eric L",Yes,3,26.35
Banks,449767.0,2811043.75,2019-09-13,Product_2,50 - 100 Million,Category 3,India,Hisar,smt. munni,CEO,Financial adviser,Marketing Event,Level 2,Up-to-date,"Tondeur,Keith D",No,5,64.2
Financial Services,325534.0,1920650.6,2019-09-13,Product_1,100 - 500 Million,Category 2,India,Khanapur,anuradha,CEO,Stage manager,Marketing Event,Level 1,5 days back,"Ross,Eric L",No,4,62.400000000000006
Health/Accident,145484.0,996565.4,2019-09-13,Product_2,500 Million - 1 Billion,Category 1,India,Allahabad,rubbi,CEO,Chartered loss adjuster,Contact Email,Level 3,More than 2 weeks,"Davis,Brian R",No,4,66.4
Investment Bank/Brokerage,116927.0,777564.55,2019-09-13,Product_2,500 Million - 1 Billion,Category 4,India,Alwar,sonu,CEO,Herpetologist,Others,Level 3,2 days back,"Salyers,Daniel L",Yes,4,64.2
Music,135404.0,832734.6,2019-09-14,Product_2,100 - 500 Million,Category 3,India,Machilipatnam,sheela,CEO,Cabin crew,Others,Level 3,More than a week back,"Shelton,Sidney P",No,4,63.3
Service Providers,146090.0,,2019-09-14,Product_1,50 - 100 Million,Category 1,India,Silvassa,pooja,SVP/General Counsel,Clinical cytogeneticist,Website,Level 2,2 days back,"Turner,Marlon D",Yes,3,65.4
Banks,477367.0,2888070.35,2019-09-14,Product_1,50 - 100 Million,Category 1,India,Saidapur,mustki begam,SVP/General Counsel,Data processing manager,Contact Email,Level 1,More than a week back,"Rocks,Michael J",Yes,3,60.1
Healthcare Facilities/Services,154843.0,905831.55,2019-09-14,Product_2,50 - 100 Million,Category 3,India,Warangal,bhateri,CEO,Hotel manager,Contact Email,Level 1,No track,"Carter Sr,Clifton E",No,5,59.2
Banks,314676.0,2076861.6,2019-09-14,Product_1,50 - 100 Million,Category 3,India,Gangtok,priyanka,SVP/General Counsel,Insurance underwriter,Marketing Event,Level 3,No track,"Maine,John P",Yes,5,66.9
Outsourcing,77637.0,,2019-09-14,Product_1,500 Million - 1 Billion,Category 1,USA,"New Orleans-Metairie, LA",Wendy Lucero,SVP/General Counsel,IT sales professional,Website,Level 3,2 days back,"Kiepea,Prince A",Yes,5,26.35
Architecture/Engineering,338783.0,2066576.3,2019-09-14,Product_2,500 Million - 1 Billion,Category 3,,"Sebastian-Vero Beach, FL",Jamie King,CEO,"Teacher, special educational needs",Contact Email,Level 1,No track,"Anthony,Katherine D",No,4,66.0
Electric Utilities,102313.0,654803.2,2019-09-14,Product_2,50 - 100 Million,Category 3,USA,"Columbus, OH",Stacie Glover,CEO,"Nurse, children's",Contact Email,Level 3,More than a week back,"Vickers Jr.,Henry J",Yes,4,68.5
Hospitals/Clinics,175110.0,1111948.5,2019-09-14,Product_2,50 - 100 Million,Category 3,India,Raichur,anju,CEO,"Doctor, hospital",Website,Level 3,more than a month,"Massiah,Gerard F",Yes,4,65.1
Architecture/Engineering,287003.0,1879869.65,2019-09-14,Product_2,100 - 500 Million,Category 4,India,Varanasi,priyanka,SVP/General Counsel,Acupuncturist,Others,Level 3,Up-to-date,"Himes,Maurice C",Yes,4,62.8
Banks,283002.0,1853663.1,2019-09-14,Product_1,100 - 500 Million,Category 3,USA,"Decatur, AL",Joshua Vasquez,SVP/General Counsel,Quantity surveyor,Marketing Event,Level 3,No track,"Van Arter,Derrick",No,2,69.1
Hotels/Motels,77206.0,451655.1,2019-09-14,Product_1,100 - 500 Million,Category 2,USA,"Montgomery, AL",Danielle Flores,CEO,Legal secretary,Website,Level 1,No track,"Abdul-Hamid,Saud Muhamad",No,2,-5.0
Insurance,126966.0,857020.5,2019-09-15,Product_2,100 - 500 Million,Category 3,USA,"Sherman-Denison, TX",Kristin Richardson,SVP/General Counsel,"Production assistant, radio",Marketing Event,Level 3,More than a week back,"Pappas,Mark S",No,3,72.3
Hospitals/Clinics,110447.0,690293.75,2019-09-15,Product_1,50 - 100 Million,Category 1,USA,"Jacksonville, NC",Gina Young,CEO,"Engineer, land",Contact Email,Level 2,No track,"Young,Valerie K",Yes,2,65.6
Health/Accident,310510.0,1800958.0,2019-09-15,Product_1,500 Million - 1 Billion,Category 2,India,Shiliguri,neha,CEO,Outdoor activities/education manager,Contact Email,Level 1,More than 2 weeks,"Jones,Eyvette W",Yes,3,107.34
Hotels/Motels,210086.0,1239507.4,2019-09-15,Product_1,500 Million - 1 Billion,Category 3,USA,"San Angelo, TX",Tina Wiggins,SVP/General Counsel,Geophysicist/field seismologist,Others,Level 2,More than a week back,"Meli,Teresa V",No,1,65.8
Grocery,192891.0,1282725.15,2019-09-15,Product_2,50 - 100 Million,Category 2,USA,"Fort Wayne, IN",Michelle Holland,SVP/General Counsel,Multimedia programmer,Website,Level 3,Up-to-date,"Abdul-Hamid,Saud Muhamad",No,5,75.7
Metals/Mining,278591.0,1601898.25,2019-09-15,Product_1,50 - 100 Million,Category 2,USA,"Yakima, WA",Sharon Dean,CEO,"Scientist, product/process development",Marketing Event,Level 1,,"Maine,John P",No,1,65.7
Health/Accident,458520.0,2705268.0,2019-09-15,Product_2,100 - 500 Million,Category 2,India,Chandigarh ,sanju,CEO,Publishing rights manager,Others,Level 2,No track,"Jones,Eyvette W",Yes,5,107.34
Banks,449777.0,,2019-09-15,Product_1,500 Million - 1 Billion,Category 3,India,Proddatur,durga pathik,SVP/General Counsel,Theatre director,Contact Email,Level 3,2 days back,"Leu,Darren L",Yes,1,60.2
